2020-05-15 14:34:45 gen_schema.py [line:45] INFO: 连接neo4j成功》》》》》
2020-05-15 14:34:45 connectionpool.py [line:225] DEBUG: Starting new HTTP connection (1): 172.22.67.25:7474
2020-05-15 14:34:46 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 313
2020-05-15 14:34:46 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-15 14:34:46 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1469
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1493
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1501
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1522
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1494
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1523
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction HTTP/1.1" 201 152
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/18 HTTP/1.1" 200 455
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/18/commit HTTP/1.1" 200 26
2020-05-15 14:34:47 gen_schema.py [line:45] INFO: 连接neo4j成功》》》》》
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1494
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1523
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1494
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1493
2020-05-15 14:34:47 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1467
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1485
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1494
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1486
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction HTTP/1.1" 201 152
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/28 HTTP/1.1" 200 456
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/28/commit HTTP/1.1" 200 26
2020-05-15 14:34:48 gen_schema.py [line:45] INFO: 连接neo4j成功》》》》》
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1494
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1486
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction HTTP/1.1" 201 152
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/32 HTTP/1.1" 200 456
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/32 HTTP/1.1" 200 457
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/32/commit HTTP/1.1" 200 26
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1519
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction HTTP/1.1" 201 152
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/35 HTTP/1.1" 200 456
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/35 HTTP/1.1" 200 456
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/35/commit HTTP/1.1" 200 26
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1552
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1707
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1773
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction HTTP/1.1" 201 152
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/40 HTTP/1.1" 200 457
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/40 HTTP/1.1" 200 457
2020-05-15 14:34:48 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/40/commit HTTP/1.1" 200 26
2020-05-15 14:34:49 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1533
2020-05-15 14:34:49 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-15 14:34:49 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction HTTP/1.1" 201 152
2020-05-15 14:34:49 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/43 HTTP/1.1" 200 457
2020-05-15 14:34:49 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/43 HTTP/1.1" 200 457
2020-05-15 14:34:49 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/43/commit HTTP/1.1" 200 26
2020-05-15 14:34:49 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1566
2020-05-15 14:34:49 connectionpool.py [line:437] DEBUG: http://172.22.67.25:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1675
