2020-05-29 09:16:39 gen_schema.py [line:46] INFO: 连接neo4j成功》》》》》
2020-05-29 09:16:39 connectionpool.py [line:205] DEBUG: Starting new HTTP connection (1): localhost:7474
2020-05-29 09:16:42 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 312
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1430
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1454
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1444
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1468
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1455
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1469
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/10 HTTP/1.1" 200 453
2020-05-29 09:16:46 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/10/commit HTTP/1.1" 200 26
2020-05-29 09:17:02 gen_schema.py [line:46] INFO: 连接neo4j成功》》》》》
2020-05-29 09:17:02 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1455
2020-05-29 09:17:02 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1469
2020-05-29 09:17:02 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:02 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:02 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/14 HTTP/1.1" 200 454
2020-05-29 09:17:02 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/14 HTTP/1.1" 200 453
2020-05-29 09:17:02 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/14/commit HTTP/1.1" 200 26
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 1514
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/commit HTTP/1.1" 200 314
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction HTTP/1.1" 201 149
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/17 HTTP/1.1" 200 454
2020-05-29 09:17:03 connectionpool.py [line:393] DEBUG: http://localhost:7474 "POST /db/data/transaction/17 HTTP/1.1" 200 454
